Time,1,2,3
0.0010001659393310547,10,25,30
0.0019991397857666016,10,25,30
5.28482460975647,10,25,30
10.289050102233887,10,25,30
15.2940092086792,10,25,30
20.284831762313843,10,25,30
25.290837049484253,10,25,30
30.290129899978638,10,25,30
35.29077887535095,10,25,30
40.28771209716797,10,25,30
45.28926658630371,10,25,30
50.290918588638306,10,25,30
55.2907133102417,10,25,30
60.2895143032074,10,25,30
65.29051637649536,10,25,30
70.28909587860107,10,25,30
75.29054260253906,10,25,30
80.29055976867676,10,25,30
85.29218530654907,10,25,30
90.2923858165741,10,25,30
95.29155921936035,10,25,30
100.29195308685303,10,25,30
105.28916811943054,10,25,30
110.29085946083069,10,25,30
115.29151153564453,10,25,30
120.29156398773193,10,25,30
125.29003524780273,10,25,30
130.29189109802246,10,25,30
135.2897710800171,10,25,30
140.28817319869995,10,25,30
145.2925887107849,10,25,30
150.29140710830688,10,25,30
155.2908935546875,10,25,30
160.29059481620789,10,25,30
165.2898919582367,10,25,30
170.28935551643372,10,25,30
175.28499126434326,10,25,30
180.2909107208252,10,25,30
185.2936191558838,10,25,30
190.29269552230835,10,25,30
195.29275631904602,10,25,30
200.29095602035522,10,25,30
205.2898771762848,10,25,30
210.28958177566528,10,25,30
215.29211235046387,10,25,30
220.2909140586853,10,25,30
225.29151153564453,10,25,30
230.28928065299988,10,25,30
235.2921690940857,10,25,30
240.289475440979,10,25,30
245.28823924064636,10,25,30
250.29221534729004,10,25,30
255.29162907600403,10,25,30
260.29214572906494,10,25,30
265.2896912097931,10,25,30
270.2922377586365,10,25,30
275.2913179397583,10,25,30
280.290007352829,10,25,30
285.29037714004517,10,25,30
290.29223442077637,10,25,30
295.2912449836731,10,25,30
300.28994965553284,10,25,30
305.28977727890015,10,25,30
310.29133462905884,10,25,30
315.2889335155487,10,25,30
320.2908375263214,10,25,30
325.28949427604675,10,25,30
330.29036569595337,10,25,30
335.28975224494934,10,25,30
340.2905559539795,10,25,30
345.2924335002899,10,25,30
350.288676738739,10,25,30
355.2929005622864,10,25,30
360.2920033931732,10,25,30
365.2906084060669,10,25,30
370.2920789718628,10,25,30
375.2912504673004,10,25,30
380.28964400291443,10,25,30
385.28953862190247,10,25,30
390.2897353172302,10,25,30
395.29352355003357,10,25,30
